Product Name,New Price,Old Price
FAUX SUEDE LEATHER JACKET,"PKR 10,499","PKR 14,999"
FAUX SUEDE LEATHER JACKET,"PKR 10,499","PKR 14,999"
BUTTON DOWN SHIRT,"PKR 2,729","PKR 3,899"
BAGGY FIT POPOVER HOODIE,"PKR 4,199","PKR 5,999"
BAGGY FIT POPOVER HOODIE,"PKR 4,199","PKR 5,999"
POPOVER HOODIE,"PKR 4,199","PKR 5,999"
POPOVER HOODIE,"PKR 4,199","PKR 5,999"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
TEXTURED WOOL BLEND COAT,"PKR 8,399","PKR 11,999"
WOOL BLEND JACKET,"PKR 9,799","PKR 13,999"
CREW NECK COLOR BLOCKING SWEATER,"PKR 4,199","PKR 5,999"
CREW NECK COLOR BLOCKING SWEATER,"PKR 4,199","PKR 5,999"
STRETCH STRAIGHT FIT CHINO,"PKR 3,499","PKR 4,999"
TEXTURED BAGGY FIT EASY PANTS,"PKR 2,449","PKR 3,499"
BAGGY FIT EASY PANTS,"PKR 3,499","PKR 4,999"
BAGGY FIT EASY PANTS,"PKR 3,499","PKR 4,999"
ORIGINAL STRAIGHT FIT CARGO DENIM,"PKR 3,709","PKR 5,299"
BAGGY FIT TEXTURED SHIRT,"PKR 2,449","PKR 3,499"
SUPER SOFT POPOVER HOODIE,"PKR 3,849","PKR 5,499"
SUPER SOFT POPOVER HOODIE,"PKR 3,849","PKR 5,499"
TEXTURED WOOL BLEND COAT,"PKR 8,399","PKR 11,999"
EXPLORE SWEATER,"PKR 4,549","PKR 6,499"
EXPLORE SWEATER,"PKR 4,549","PKR 6,499"
BRUSHED WOOL BLEND SWEATER,"PKR 4,899","PKR 6,999"
BOX FIT RESORT COLLAR SHIRT,"PKR 2,449","PKR 3,499"
BUTTON DOWN SHIRT,"PKR 2,729","PKR 3,899"
BUTTON DOWN SHIRT,"PKR 2,729","PKR 3,899"
BAGGY FIT CONTRAST PANEL HOODED TEE,"PKR 3,499","PKR 4,999"
BAGGY FIT CONTRAST PANEL HOODED TEE,"PKR 3,499","PKR 4,999"
BOX FIT TERRY POLO,"PKR 3,849","PKR 5,499"
BOX FIT TERRY POLO,"PKR 3,849","PKR 5,499"
BAGGY FIT CARGO TROUSER,"PKR 3,709","PKR 5,299"
SLIM RELAXED FIT DENIM,"PKR 3,499","PKR 4,999"
SLIM RELAXED FIT DENIM,"PKR 3,499","PKR 4,999"
ORIGINAL STRAIGHT FIT DENIM,"PKR 3,499","PKR 4,999"
SLIM RELAXED FIT DENIM,"PKR 3,499","PKR 4,999"
ORIGINAL STRAIGHT FIT CARGO DENIM,"PKR 3,709","PKR 5,299"
BAGGY FIT HOODED FLANNEL CHECK SHIRT,"PKR 3,009","PKR 4,299"
BAGGY FIT HOODED FLANNEL CHECK SHIRT,"PKR 3,009","PKR 4,299"
BAGGY FIT POPOVER HOODIE,"PKR 3,849","PKR 5,499"
BAGGY FIT POPOVER HOODIE,"PKR 3,849","PKR 5,499"
BAGGY HALF ZIP HOODIE,"PKR 4,199","PKR 5,999"
BAGGY HALF ZIP HOODIE,"PKR 4,199","PKR 5,999"
BAGGY FIT POPOVER HOODIE,"PKR 4,199","PKR 5,999"
BAGGY FIT POPOVER HOODIE,"PKR 4,199","PKR 5,999"
BAGGY FIT TROUSER,"PKR 3,499","PKR 4,999"
BAGGY FIT TROUSER,"PKR 3,499","PKR 4,999"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
TEXTURED WOOL BLEND LONG COAT,"PKR 9,799","PKR 13,999"
TEXTURED WOOL BLEND LONG COAT,"PKR 9,799","PKR 13,999"
FAUX LEATHER JACKET,"PKR 9,099","PKR 12,999"
CABLE KNIT SWEATER,"PKR 4,199","PKR 5,999"
CABLE KNIT SWEATER,"PKR 4,199","PKR 5,999"
FLANNEL CHECK SHIRT,"PKR 2,729","PKR 3,899"
FLANNEL CHECK SHIRT,"PKR 2,729","PKR 3,899"
SLIM RELAXED FIT DENIM,"PKR 3,499","PKR 4,999"
BAGGY FIT DENIM,"PKR 3,499","PKR 4,999"
CARPENTER FIT DENIM,"PKR 3,499","PKR 4,999"
ORIGINAL STRAIGHT FIT DENIM,"PKR 3,499","PKR 4,999"
BAGGY FIT DENIM,"PKR 3,499","PKR 4,999"
CARPENTER FIT CARGO DENIM,"PKR 3,709","PKR 5,299"
BAGGY FIT POPOVER HOODIE,"PKR 3,989","PKR 5,699"
BAGGY FIT POPOVER HOODIE,"PKR 3,989","PKR 5,699"
VARSITY COLLAR BUTTON DOWN UPPER,"PKR 4,199","PKR 5,999"
VARSITY COLLAR BUTTON DOWN UPPER,"PKR 4,199","PKR 5,999"
POPOVER HOODIE,"PKR 3,849","PKR 5,499"
POPOVER HOODIE,"PKR 3,849","PKR 5,499"
WOOL BLEND JACKET,"PKR 6,499","PKR 12,999"
WOOL BLEND JACKET,"PKR 6,499","PKR 12,999"
BAGGY FIT TEXTURED SHACKET,"PKR 4,199","PKR 5,999"
BAGGY FIT TEXTURED SHACKET,"PKR 4,199","PKR 5,999"
VARSITY COLLAR FAUX SUEDE LEATHER JACKET,"PKR 9,099","PKR 12,999"
VARSITY COLLAR FAUX SUEDE LEATHER JACKET,"PKR 9,099","PKR 12,999"
WOOL BLEND JACKET,"PKR 9,099","PKR 12,999"
WOOL BLEND JACKET,"PKR 9,099","PKR 12,999"
CREW NECK SWEATER,"PKR 4,199","PKR 5,999"
CREW NECK SWEATER,"PKR 4,199","PKR 5,999"
SWEATER POLO,"PKR 4,549","PKR 6,499"
SWEATER POLO,"PKR 4,549","PKR 6,499"
CONTRAST STRIPER SWEATER,"PKR 4,199","PKR 5,999"
CONTRAST STRIPER SWEATER,"PKR 4,199","PKR 5,999"
TEXTURED KNIT SWEATER,"PKR 4,199","PKR 5,999"
TEXTURED KNIT SWEATER,"PKR 4,199","PKR 5,999"
HIGH NECK SWEATER,"PKR 4,549","PKR 6,499"
HIGH NECK SWEATER,"PKR 4,549","PKR 6,499"
BOX FIT SWEATSHIRT,"PKR 3,499","PKR 4,999"
BOX FIT SWEATSHIRT,"PKR 3,499","PKR 4,999"
TEXTURED WOOL BLEND COAT,"PKR 8,399","PKR 11,999"
TEXTURED WOOL BLEND SEMI LONG COAT,"PKR 9,099","PKR 12,999"
TEXTURED WOOL BLEND COAT,"PKR 5,999","PKR 11,999"
TEXTURED WOOL BLEND COAT,"PKR 8,399","PKR 11,999"
TEXTURED WOOL BLEND COAT,"PKR 8,399","PKR 11,999"
GLOVES,"PKR 2,099","PKR 2,999"
DENIM CAP,"PKR 1,749","PKR 2,499"
DENIM CAP,"PKR 1,749","PKR 2,499"
3-PACK BRACELETS,"PKR 1,049","PKR 1,499"
3-PACK BRACELETS,"PKR 1,049","PKR 1,499"
4-PACK BRACELETS,"PKR 1,049","PKR 1,499"
4-PACK BRACELETS,"PKR 1,049","PKR 1,499"
BRACELET,PKR 699,PKR 999
BRACELET,PKR 699,PKR 999
BRACELET,PKR 699,PKR 999
BRACELET,PKR 699,PKR 999
LONG SHRUG,"PKR 4,199","PKR 5,999"
LONG SHRUG,"PKR 4,199","PKR 5,999"
MOCK NECK HALF ZIPPER HOODIE,"PKR 3,849","PKR 5,499"
MOCK NECK HALF ZIPPER HOODIE,"PKR 3,849","PKR 5,499"
BAGGY FIT SWEATSHIRT,"PKR 3,289","PKR 4,699"
BOX FIT SWEATSHIRT,"PKR 3,289","PKR 4,699"
BOX FIT SWEATSHIRT,"PKR 3,289","PKR 4,699"
BAGGY FIT TROUSER,"PKR 3,289","PKR 4,699"
SLIM RELAXED FIT DENIM,"PKR 3,499","PKR 4,999"
STRETCH SLIM FIT DENIM,"PKR 3,499","PKR 4,999"
BOXER (PACK OF 3),"PKR 3,849","PKR 5,499"
BOXER (PACK OF 3),"PKR 3,849","PKR 5,499"
GLOVES,"PKR 2,099","PKR 2,999"
GLOVES,"PKR 2,099","PKR 2,999"
GLOVES,"PKR 2,099","PKR 2,999"
